test,file,gt_index,gt_label,pred_index,pred_label,correct,latency_mcu_ms,latency_pc_s,tensor_arena,free_ram,iteration,status,timestamp
0,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0102.raw,2,5,0,0,0,3828,4.629903316497803,180000,165700,1,OK,2026-03-16 19:45:00
1,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0016.raw,4,9,4,9,1,3828,4.631015062332153,180000,165700,2,OK,2026-03-16 19:45:06
2,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0036.raw,0,0,3,8,0,3827,4.631951093673706,180000,165700,3,OK,2026-03-16 19:45:13
3,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0053.raw,0,0,0,0,1,3827,4.627286434173584,180000,165700,4,OK,2026-03-16 19:45:20
4,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0050.raw,3,8,3,8,1,3827,4.627579689025879,180000,165700,5,OK,2026-03-16 19:45:26
5,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0096.raw,4,9,4,9,1,3828,4.627142667770386,180000,165700,6,OK,2026-03-16 19:45:33
6,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0075.raw,3,8,3,8,1,3827,4.627926588058472,180000,165700,7,OK,2026-03-16 19:45:39
7,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0030.raw,2,5,2,5,1,3827,4.627668142318726,180000,165700,8,OK,2026-03-16 19:45:46
8,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0158.raw,3,8,2,5,0,3828,4.627028703689575,180000,165700,9,OK,2026-03-16 19:45:53
9,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0110.raw,1,3,3,8,0,3827,4.627174377441406,180000,165700,10,OK,2026-03-16 19:45:59
10,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0076.raw,3,8,3,8,1,3827,4.630730390548706,180000,165700,11,OK,2026-03-16 19:46:06
11,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0081.raw,3,8,3,8,1,3827,4.630138158798218,180000,165700,12,OK,2026-03-16 19:46:13
12,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0058.raw,0,0,3,8,0,3827,4.627200603485107,180000,165700,13,OK,2026-03-16 19:46:19
13,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0048.raw,1,3,0,0,0,3827,4.627114295959473,180000,165700,14,OK,2026-03-16 19:46:26
14,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0017.raw,3,8,0,0,0,3827,4.627101182937622,180000,165700,15,OK,2026-03-16 19:46:33
15,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0002.raw,2,5,4,9,0,3828,4.629812717437744,180000,165700,16,OK,2026-03-16 19:46:39
16,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0032.raw,2,5,0,0,0,3827,4.62695050239563,180000,165700,17,OK,2026-03-16 19:46:46
17,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0009.raw,0,0,3,8,0,3827,4.628503322601318,180000,165700,18,OK,2026-03-16 19:46:53
18,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0050.raw,1,3,0,0,0,3827,4.628057241439819,180000,165700,19,OK,2026-03-16 19:46:59
19,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0109.raw,2,5,2,5,1,3827,4.629323482513428,180000,165700,20,OK,2026-03-16 19:47:06
20,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0022.raw,1,3,2,5,0,3827,4.630092144012451,180000,165700,21,OK,2026-03-16 19:47:13
21,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0087.raw,0,0,0,0,1,3827,4.629864931106567,180000,165700,22,OK,2026-03-16 19:47:19
22,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0024.raw,3,8,0,0,0,3827,4.629627227783203,180000,165700,23,OK,2026-03-16 19:47:26
23,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0024.raw,0,0,3,8,0,3827,4.629727125167847,180000,165700,24,OK,2026-03-16 19:47:33
24,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0012.raw,4,9,4,9,1,3828,4.630423545837402,180000,165700,25,OK,2026-03-16 19:47:39
25,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0081.raw,4,9,4,9,1,3828,4.629940509796143,180000,165700,26,OK,2026-03-16 19:47:46
26,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0087.raw,0,0,0,0,1,3827,4.627861738204956,180000,165700,27,OK,2026-03-16 19:47:53
27,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0056.raw,1,3,2,5,0,3827,4.630505561828613,180000,165700,28,OK,2026-03-16 19:47:59
28,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0078.raw,1,3,4,9,0,3827,4.62878942489624,180000,165700,29,OK,2026-03-16 19:48:06
29,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0106.raw,1,3,3,8,0,3827,4.629762172698975,180000,165700,30,OK,2026-03-16 19:48:13
30,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0083.raw,2,5,2,5,1,3827,4.629583358764648,180000,165700,31,OK,2026-03-16 19:48:19
