test,file,gt_index,gt_label,pred_index,pred_label,correct,latency_mcu_ms,latency_pc_s,tensor_arena,free_ram,iteration,status,timestamp
0,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0013.raw,4,9,3,8,0,1268,2.0708441734313965,180000,165700,1,OK,2026-03-16 19:18:10
1,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0138.raw,3,8,3,8,1,1268,2.070547342300415,180000,165700,2,OK,2026-03-16 19:18:14
2,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0036.raw,4,9,1,3,0,1268,2.0701489448547363,180000,165700,3,OK,2026-03-16 19:18:18
3,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0148.raw,3,8,0,0,0,1268,2.0703301429748535,180000,165700,4,OK,2026-03-16 19:18:22
4,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0056.raw,1,3,4,9,0,1268,2.069079637527466,180000,165700,5,OK,2026-03-16 19:18:27
5,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0069.raw,0,0,0,0,1,1268,2.0699777603149414,180000,165700,6,OK,2026-03-16 19:18:31
6,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0039.raw,1,3,0,0,0,1268,2.0679550170898438,180000,165700,7,OK,2026-03-16 19:18:35
7,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0043.raw,0,0,4,9,0,1268,2.07041072845459,180000,165700,8,OK,2026-03-16 19:18:39
8,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0084.raw,2,5,2,5,1,1268,2.070587396621704,180000,165700,9,OK,2026-03-16 19:18:43
9,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0031.raw,4,9,1,3,0,1268,2.0732555389404297,180000,165700,10,OK,2026-03-16 19:18:47
10,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0026.raw,1,3,4,9,0,1268,2.0702226161956787,180000,165700,11,OK,2026-03-16 19:18:51
11,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0068.raw,3,8,3,8,1,1268,2.070882797241211,180000,165700,12,OK,2026-03-16 19:18:55
12,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0056.raw,2,5,2,5,1,1268,2.070266008377075,180000,165700,13,OK,2026-03-16 19:18:59
13,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0033.raw,1,3,1,3,1,1268,2.07014536857605,180000,165700,14,OK,2026-03-16 19:19:03
14,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0060.raw,1,3,1,3,1,1267,2.0708436965942383,180000,165700,15,OK,2026-03-16 19:19:08
15,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0015.raw,1,3,3,8,0,1268,2.070314407348633,180000,165700,16,OK,2026-03-16 19:19:12
16,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0023.raw,1,3,1,3,1,1268,2.0703608989715576,180000,165700,17,OK,2026-03-16 19:19:16
17,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0005.raw,0,0,0,0,1,1268,2.0709288120269775,180000,165700,18,OK,2026-03-16 19:19:20
18,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0032.raw,4,9,2,5,0,1267,2.0692195892333984,180000,165700,19,OK,2026-03-16 19:19:24
19,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0080.raw,4,9,4,9,1,1267,2.070175886154175,180000,165700,20,OK,2026-03-16 19:19:28
20,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0034.raw,3,8,3,8,1,1268,2.070368766784668,180000,165700,21,OK,2026-03-16 19:19:32
21,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0107.raw,1,3,4,9,0,1267,2.0694236755371094,180000,165700,22,OK,2026-03-16 19:19:36
22,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0015.raw,4,9,0,0,0,1268,2.070038318634033,180000,165700,23,OK,2026-03-16 19:19:40
23,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0108.raw,1,3,1,3,1,1268,2.0703704357147217,180000,165700,24,OK,2026-03-16 19:19:45
24,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0076.raw,3,8,3,8,1,1268,2.0702621936798096,180000,165700,25,OK,2026-03-16 19:19:49
25,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0005.raw,0,0,0,0,1,1268,2.0709524154663086,180000,165700,26,OK,2026-03-16 19:19:53
26,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0004.raw,2,5,4,9,0,1268,2.0700511932373047,180000,165700,27,OK,2026-03-16 19:19:57
27,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0046.raw,3,8,3,8,1,1267,2.0704593658447266,180000,165700,28,OK,2026-03-16 19:20:01
28,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0017.raw,2,5,2,5,1,1268,2.0697522163391113,180000,165700,29,OK,2026-03-16 19:20:05
29,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0055.raw,1,3,1,3,1,1268,2.070220947265625,180000,165700,30,OK,2026-03-16 19:20:09
30,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0038.raw,3,8,2,5,0,1268,2.069465398788452,180000,165700,31,OK,2026-03-16 19:20:13
31,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0089.raw,1,3,1,3,1,1268,2.068986654281616,180000,165700,32,OK,2026-03-16 19:20:17
32,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0027.raw,3,8,1,3,0,1267,2.070481061935425,180000,165700,33,OK,2026-03-16 19:20:22
33,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0000.raw,4,9,4,9,1,1268,2.070787191390991,180000,165700,34,OK,2026-03-16 19:20:26
34,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0117.raw,2,5,2,5,1,1268,2.070124864578247,180000,165700,35,OK,2026-03-16 19:20:30
35,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0090.raw,3,8,4,9,0,1268,2.070138692855835,180000,165700,36,OK,2026-03-16 19:20:34
36,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0005.raw,3,8,3,8,1,1267,2.070735216140747,180000,165700,37,OK,2026-03-16 19:20:38
37,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0050.raw,4,9,4,9,1,1268,2.0697309970855713,180000,165700,38,OK,2026-03-16 19:20:42
38,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0001.raw,3,8,2,5,0,1268,2.070242166519165,180000,165700,39,OK,2026-03-16 19:20:46
39,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0022.raw,4,9,4,9,1,1267,2.069247007369995,180000,165700,40,OK,2026-03-16 19:20:50
40,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0022.raw,0,0,0,0,1,1268,2.0712461471557617,180000,165700,41,OK,2026-03-16 19:20:54
41,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0030.raw,0,0,0,0,1,1268,2.07082462310791,180000,165700,42,OK,2026-03-16 19:20:59
42,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0055.raw,4,9,4,9,1,1268,2.0710959434509277,180000,165700,43,OK,2026-03-16 19:21:03
43,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0075.raw,1,3,1,3,1,1268,2.070444345474243,180000,165700,44,OK,2026-03-16 19:21:07
44,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0002.raw,1,3,2,5,0,1268,2.0698626041412354,180000,165700,45,OK,2026-03-16 19:21:11
45,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0026.raw,0,0,2,5,0,1267,2.0708167552948,180000,165700,46,OK,2026-03-16 19:21:15
46,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0037.raw,1,3,1,3,1,1268,2.06856369972229,180000,165700,47,OK,2026-03-16 19:21:19
47,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0068.raw,0,0,1,3,0,1268,2.0704643726348877,180000,165700,48,OK,2026-03-16 19:21:23
48,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0025.raw,0,0,3,8,0,1268,2.0703606605529785,180000,165700,49,OK,2026-03-16 19:21:27
49,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0031.raw,4,9,1,3,0,1267,2.070720672607422,180000,165700,50,OK,2026-03-16 19:21:31
50,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0118.raw,3,8,3,8,1,1268,2.070347785949707,180000,165700,51,OK,2026-03-16 19:21:35
51,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0087.raw,2,5,2,5,1,1268,2.0700390338897705,180000,165700,52,OK,2026-03-16 19:21:40
52,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0074.raw,0,0,3,8,0,1267,2.068894624710083,180000,165700,53,OK,2026-03-16 19:21:44
53,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0084.raw,2,5,2,5,1,1268,2.0707170963287354,180000,165700,54,OK,2026-03-16 19:21:48
54,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0057.raw,4,9,4,9,1,1268,2.070465087890625,180000,165700,55,OK,2026-03-16 19:21:52
55,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0050.raw,1,3,4,9,0,1268,2.070530414581299,180000,165700,56,OK,2026-03-16 19:21:56
56,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0010.raw,1,3,1,3,1,1268,2.0707645416259766,180000,165700,57,OK,2026-03-16 19:22:00
57,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0019.raw,1,3,2,5,0,1268,2.0709502696990967,180000,165700,58,OK,2026-03-16 19:22:04
58,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0045.raw,1,3,4,9,0,1268,2.0697853565216064,180000,165700,59,OK,2026-03-16 19:22:08
59,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0039.raw,2,5,2,5,1,1268,2.0701963901519775,180000,165700,60,OK,2026-03-16 19:22:12
60,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0069.raw,3,8,3,8,1,1268,2.0701212882995605,180000,165700,61,OK,2026-03-16 19:22:16
61,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0022.raw,0,0,0,0,1,1268,2.0707130432128906,180000,165700,62,OK,2026-03-16 19:22:21
62,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0093.raw,4,9,4,9,1,1268,2.0702381134033203,180000,165700,63,OK,2026-03-16 19:22:25
63,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0157.raw,3,8,2,5,0,1268,2.0703125,180000,165700,64,OK,2026-03-16 19:22:29
64,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0028.raw,4,9,1,3,0,1268,2.070408344268799,180000,165700,65,OK,2026-03-16 19:22:33
65,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0093.raw,2,5,3,8,0,1268,2.070021390914917,180000,165700,66,OK,2026-03-16 19:22:37
66,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0004.raw,1,3,0,0,0,1268,2.0700488090515137,180000,165700,67,OK,2026-03-16 19:22:41
67,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0061.raw,3,8,0,0,0,1268,2.070227861404419,180000,165700,68,OK,2026-03-16 19:22:45
68,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0014.raw,0,0,0,0,1,1268,2.0703823566436768,180000,165700,69,OK,2026-03-16 19:22:49
69,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0057.raw,0,0,0,0,1,1268,2.0687203407287598,180000,165700,70,OK,2026-03-16 19:22:53
70,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0002.raw,0,0,3,8,0,1268,2.0682029724121094,180000,165700,71,OK,2026-03-16 19:22:58
