test,file,gt_index,gt_label,pred_index,pred_label,correct,latency_mcu_ms,latency_pc_s,tensor_arena,free_ram,iteration,status,timestamp
0,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0150.raw,3,8,1,3,0,1268,2.068812131881714,96256,249444,7,OK,2026-03-19 12:58:13
1,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0136.raw,3,8,3,8,1,1268,2.0700647830963135,96256,249444,8,OK,2026-03-19 12:58:17
2,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0064.raw,2,5,2,5,1,1267,2.0703041553497314,96256,249444,9,OK,2026-03-19 12:58:21
3,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0082.raw,3,8,3,8,1,1268,2.070514678955078,96256,249444,10,OK,2026-03-19 12:58:25
4,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0074.raw,3,8,3,8,1,1268,2.0704891681671143,96256,249444,11,OK,2026-03-19 12:58:29
5,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0001.raw,0,0,3,8,0,1268,2.0701920986175537,96256,249444,12,OK,2026-03-19 12:58:34
6,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0091.raw,1,3,1,3,1,1267,2.0706088542938232,96256,249444,13,OK,2026-03-19 12:58:38
7,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0070.raw,1,3,1,3,1,1268,2.0707786083221436,96256,249444,14,OK,2026-03-19 12:58:42
8,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0031.raw,4,9,1,3,0,1268,2.070521116256714,96256,249444,15,OK,2026-03-19 12:58:46
9,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0008.raw,0,0,0,0,1,1268,2.070725917816162,96256,249444,16,OK,2026-03-19 12:58:50
10,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0079.raw,0,0,0,0,1,1268,2.070613145828247,96256,249444,17,OK,2026-03-19 12:58:54
11,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0082.raw,3,8,3,8,1,1268,2.070408582687378,96256,249444,18,OK,2026-03-19 12:58:58
12,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0078.raw,2,5,2,5,1,1268,2.070394992828369,96256,249444,19,OK,2026-03-19 12:59:02
13,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0068.raw,0,0,1,3,0,1268,2.069892644882202,96256,249444,20,OK,2026-03-19 12:59:06
14,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0015.raw,3,8,3,8,1,1268,2.070556163787842,96256,249444,21,OK,2026-03-19 12:59:10
15,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0003.raw,0,0,0,0,1,1268,2.071016550064087,96256,249444,22,OK,2026-03-19 12:59:14
