test,file,gt_index,gt_label,pred_index,pred_label,correct,latency_mcu_ms,latency_pc_s,tensor_arena,free_ram,iteration,status,timestamp
0,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0103.raw,3,8,3,8,1,3647,4.449849843978882,86016,259684,1005,OK,2026-03-18 20:14:53
1,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0046.raw,0,0,0,0,1,3647,4.449899673461914,86016,259684,1006,OK,2026-03-18 20:15:00
2,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0075.raw,1,3,3,8,0,3647,4.449793815612793,86016,259684,1007,OK,2026-03-18 20:15:06
3,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0037.raw,0,0,2,5,0,3647,4.450253248214722,86016,259684,1008,OK,2026-03-18 20:15:12
4,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0084.raw,3,8,3,8,1,3647,4.4498560428619385,86016,259684,1009,OK,2026-03-18 20:15:19
5,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0002.raw,4,9,4,9,1,3647,4.450108289718628,86016,259684,1010,OK,2026-03-18 20:15:25
6,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0024.raw,4,9,4,9,1,3647,4.4497153759002686,86016,259684,1011,OK,2026-03-18 20:15:32
7,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0034.raw,0,0,3,8,0,3647,4.449792146682739,86016,259684,1012,OK,2026-03-18 20:15:38
8,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0018.raw,2,5,3,8,0,3647,4.45055627822876,86016,259684,1013,OK,2026-03-18 20:15:45
9,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0086.raw,1,3,1,3,1,3647,4.448663949966431,86016,259684,1014,OK,2026-03-18 20:15:51
10,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0036.raw,3,8,1,3,0,3648,4.449903964996338,86016,259684,1015,OK,2026-03-18 20:15:58
11,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0103.raw,2,5,2,5,1,3647,4.45035457611084,86016,259684,1016,OK,2026-03-18 20:16:04
12,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0082.raw,2,5,2,5,1,3647,4.450382947921753,86016,259684,1017,OK,2026-03-18 20:16:11
13,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0089.raw,2,5,2,5,1,3647,4.4504475593566895,86016,259684,1018,OK,2026-03-18 20:16:17
14,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0071.raw,1,3,1,3,1,3647,4.450373649597168,86016,259684,1019,OK,2026-03-18 20:16:23
15,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0090.raw,0,0,3,8,0,3648,4.450030565261841,86016,259684,1020,OK,2026-03-18 20:16:30
16,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0092.raw,1,3,1,3,1,3648,4.450742721557617,86016,259684,1021,OK,2026-03-18 20:16:36
17,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0080.raw,3,8,3,8,1,3647,4.450414657592773,86016,259684,1022,OK,2026-03-18 20:16:43
18,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0035.raw,4,9,4,9,1,3647,4.447944641113281,86016,259684,1023,OK,2026-03-18 20:16:49
19,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0004.raw,1,3,4,9,0,3648,4.452032566070557,86016,259684,1024,OK,2026-03-18 20:16:56
20,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0103.raw,2,5,2,5,1,3647,4.45112943649292,86016,259684,1025,OK,2026-03-18 20:17:02
21,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0133.raw,3,8,3,8,1,3648,4.450576543807983,86016,259684,1026,OK,2026-03-18 20:17:09
22,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0024.raw,0,0,3,8,0,3648,4.4501776695251465,86016,259684,1027,OK,2026-03-18 20:17:15
23,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0061.raw,0,0,0,0,1,3648,4.451028823852539,86016,259684,1028,OK,2026-03-18 20:17:22
24,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0065.raw,0,0,0,0,1,3647,4.450343132019043,86016,259684,1029,OK,2026-03-18 20:17:28
25,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0010.raw,2,5,2,5,1,3647,4.448861360549927,86016,259684,1030,OK,2026-03-18 20:17:35
26,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0069.raw,4,9,4,9,1,3648,4.44947624206543,86016,259684,1031,OK,2026-03-18 20:17:41
27,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0102.raw,2,5,2,5,1,3647,4.448588132858276,86016,259684,1032,OK,2026-03-18 20:17:47
28,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0064.raw,1,3,2,5,0,3647,4.450526714324951,86016,259684,1033,OK,2026-03-18 20:17:54
29,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0046.raw,0,0,0,0,1,3648,4.451066017150879,86016,259684,1034,OK,2026-03-18 20:18:00
30,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0076.raw,1,3,1,3,1,3648,4.450822830200195,86016,259684,1035,OK,2026-03-18 20:18:07
