test,file,gt_index,gt_label,pred_index,pred_label,correct,latency_mcu_ms,latency_pc_s,tensor_arena,free_ram,iteration,status,timestamp
0,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0000.raw,1,3,3,8,0,1907,2.7085206508636475,93184,252516,1,OK,2026-03-19 11:15:41
1,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0058.raw,2,5,1,3,0,1906,2.7081851959228516,93184,252516,2,OK,2026-03-19 11:15:45
2,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0103.raw,3,8,3,8,1,1906,2.7085840702056885,93184,252516,3,OK,2026-03-19 11:15:50
3,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0057.raw,2,5,1,3,0,1906,2.7089319229125977,93184,252516,4,OK,2026-03-19 11:15:55
4,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0100.raw,4,9,3,8,0,1906,2.7083280086517334,93184,252516,5,OK,2026-03-19 11:16:00
5,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0103.raw,2,5,2,5,1,1906,2.7086777687072754,93184,252516,6,OK,2026-03-19 11:16:04
6,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0028.raw,2,5,2,5,1,1906,2.7089500427246094,93184,252516,7,OK,2026-03-19 11:16:09
7,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0094.raw,2,5,2,5,1,1906,2.7091362476348877,93184,252516,8,OK,2026-03-19 11:16:14
8,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0027.raw,3,8,3,8,1,1906,2.7084383964538574,93184,252516,9,OK,2026-03-19 11:16:19
9,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0005.raw,0,0,0,0,1,1906,2.708787679672241,93184,252516,10,OK,2026-03-19 11:16:23
10,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0046.raw,4,9,1,3,0,1906,2.7063944339752197,93184,252516,11,OK,2026-03-19 11:16:28
11,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0098.raw,2,5,2,5,1,1906,2.7082135677337646,93184,252516,12,OK,2026-03-19 11:16:33
12,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0021.raw,2,5,1,3,0,1906,2.7086188793182373,93184,252516,13,OK,2026-03-19 11:16:37
13,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0011.raw,4,9,4,9,1,1906,2.7087368965148926,93184,252516,14,OK,2026-03-19 11:16:42
14,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0095.raw,4,9,4,9,1,1906,2.7084860801696777,93184,252516,15,OK,2026-03-19 11:16:47
15,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0025.raw,3,8,3,8,1,1906,2.7087042331695557,93184,252516,16,OK,2026-03-19 11:16:52
16,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0004.raw,0,0,0,0,1,1906,2.7085206508636475,93184,252516,17,OK,2026-03-19 11:16:56
17,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0111.raw,1,3,1,3,1,1906,2.708688259124756,93184,252516,18,OK,2026-03-19 11:17:01
18,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0079.raw,0,0,2,5,0,1906,2.708742618560791,93184,252516,19,OK,2026-03-19 11:17:06
19,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0085.raw,4,9,4,9,1,1906,2.708355665206909,93184,252516,20,OK,2026-03-19 11:17:11
20,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0089.raw,4,9,2,5,0,1906,2.708791494369507,93184,252516,21,OK,2026-03-19 11:17:15
21,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0019.raw,0,0,0,0,1,1906,2.7082881927490234,93184,252516,22,OK,2026-03-19 11:17:20
22,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0011.raw,3,8,1,3,0,1906,2.708702325820923,93184,252516,23,OK,2026-03-19 11:17:25
23,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0120.raw,3,8,3,8,1,1906,2.708329439163208,93184,252516,24,OK,2026-03-19 11:17:30
24,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0080.raw,3,8,2,5,0,1906,2.7089104652404785,93184,252516,25,OK,2026-03-19 11:17:34
25,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0047.raw,4,9,4,9,1,1906,2.7078003883361816,93184,252516,26,OK,2026-03-19 11:17:39
26,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0130.raw,3,8,4,9,0,1907,2.708674430847168,93184,252516,27,OK,2026-03-19 11:17:44
27,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0029.raw,4,9,4,9,1,1906,2.705983877182007,93184,252516,28,OK,2026-03-19 11:17:49
28,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0089.raw,4,9,2,5,0,1906,2.7085273265838623,93184,252516,29,OK,2026-03-19 11:17:54
29,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0114.raw,2,5,2,5,1,1906,2.7085278034210205,93184,252516,30,OK,2026-03-19 11:17:58
30,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0052.raw,4,9,3,8,0,1906,2.708681344985962,93184,252516,31,OK,2026-03-19 11:18:03
31,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0056.raw,0,0,4,9,0,1906,2.7074341773986816,93184,252516,32,OK,2026-03-19 11:18:08
32,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0031.raw,1,3,3,8,0,1906,2.7084906101226807,93184,252516,33,OK,2026-03-19 11:18:12
33,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0004.raw,3,8,4,9,0,1906,2.7086610794067383,93184,252516,34,OK,2026-03-19 11:18:17
34,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0050.raw,4,9,3,8,0,1906,2.708017110824585,93184,252516,35,OK,2026-03-19 11:18:22
35,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0052.raw,4,9,3,8,0,1906,2.709136962890625,93184,252516,36,OK,2026-03-19 11:18:27
36,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0049.raw,1,3,2,5,0,1906,2.7084481716156006,93184,252516,37,OK,2026-03-19 11:18:31
37,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0100.raw,1,3,2,5,0,1907,2.7088520526885986,93184,252516,38,OK,2026-03-19 11:18:36
38,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0047.raw,4,9,4,9,1,1906,2.708653450012207,93184,252516,39,OK,2026-03-19 11:18:41
39,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0021.raw,1,3,1,3,1,1907,2.7083957195281982,93184,252516,40,OK,2026-03-19 11:18:46
40,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0020.raw,0,0,4,9,0,1906,2.708333969116211,93184,252516,41,OK,2026-03-19 11:18:50
41,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0012.raw,0,0,1,3,0,1906,2.7086024284362793,93184,252516,42,OK,2026-03-19 11:18:55
42,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0000.raw,0,0,0,0,1,1907,2.7064716815948486,93184,252516,43,OK,2026-03-19 11:19:00
43,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0095.raw,3,8,3,8,1,1906,2.7086539268493652,93184,252516,44,OK,2026-03-19 11:19:05
44,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0029.raw,0,0,4,9,0,1906,2.708766222000122,93184,252516,45,OK,2026-03-19 11:19:09
45,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0049.raw,4,9,4,9,1,1906,2.708531618118286,93184,252516,46,OK,2026-03-19 11:19:14
46,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0062.raw,1,3,3,8,0,1906,2.708620309829712,93184,252516,47,OK,2026-03-19 11:19:19
47,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0083.raw,4,9,4,9,1,1906,2.7090907096862793,93184,252516,48,OK,2026-03-19 11:19:24
48,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0016.raw,4,9,4,9,1,1906,2.7086312770843506,93184,252516,49,OK,2026-03-19 11:19:28
49,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0086.raw,4,9,4,9,1,1906,2.7089884281158447,93184,252516,50,OK,2026-03-19 11:19:33
50,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0059.raw,0,0,3,8,0,1906,2.70869517326355,93184,252516,51,OK,2026-03-19 11:19:38
51,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0001.raw,4,9,4,9,1,1906,2.7080307006835938,93184,252516,52,OK,2026-03-19 11:19:43
52,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0087.raw,4,9,4,9,1,1906,2.7086668014526367,93184,252516,53,OK,2026-03-19 11:19:47
53,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0103.raw,1,3,1,3,1,1906,2.7085301876068115,93184,252516,54,OK,2026-03-19 11:19:52
54,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0031.raw,0,0,0,0,1,1906,2.7084801197052,93184,252516,55,OK,2026-03-19 11:19:57
55,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0026.raw,0,0,1,3,0,1906,2.7082998752593994,93184,252516,56,OK,2026-03-19 11:20:01
56,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0017.raw,1,3,1,3,1,1906,2.708686590194702,93184,252516,57,OK,2026-03-19 11:20:06
57,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0002.raw,0,0,0,0,1,1906,2.7092525959014893,93184,252516,58,OK,2026-03-19 11:20:11
58,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0000.raw,1,3,3,8,0,1906,2.7086551189422607,93184,252516,59,OK,2026-03-19 11:20:16
59,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0083.raw,3,8,3,8,1,1906,2.708724021911621,93184,252516,60,OK,2026-03-19 11:20:20
60,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0000.raw,0,0,0,0,1,1906,2.706378698348999,93184,252516,61,OK,2026-03-19 11:20:25
61,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0037.raw,0,0,1,3,0,1907,2.705573797225952,93184,252516,62,OK,2026-03-19 11:20:30
62,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0064.raw,1,3,1,3,1,1906,2.7055180072784424,93184,252516,63,OK,2026-03-19 11:20:34
63,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0041.raw,4,9,4,9,1,1906,2.7056214809417725,93184,252516,64,OK,2026-03-19 11:20:39
64,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0049.raw,4,9,4,9,1,1906,2.706528902053833,93184,252516,65,OK,2026-03-19 11:20:44
65,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0104.raw,3,8,2,5,0,1906,2.7067511081695557,93184,252516,66,OK,2026-03-19 11:20:49
66,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0047.raw,2,5,1,3,0,1907,2.705888271331787,93184,252516,67,OK,2026-03-19 11:20:53
67,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0054.raw,4,9,1,3,0,1906,2.7085065841674805,93184,252516,68,OK,2026-03-19 11:20:58
68,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0021.raw,4,9,4,9,1,1906,2.7070581912994385,93184,252516,69,OK,2026-03-19 11:21:03
69,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0090.raw,3,8,3,8,1,1906,2.7079529762268066,93184,252516,70,OK,2026-03-19 11:21:08
70,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0056.raw,1,3,1,3,1,1907,2.7091290950775146,93184,252516,71,OK,2026-03-19 11:21:12
71,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0089.raw,1,3,3,8,0,1906,2.708650827407837,93184,252516,72,OK,2026-03-19 11:21:17
72,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0013.raw,2,5,1,3,0,1906,2.7088370323181152,93184,252516,73,OK,2026-03-19 11:21:22
73,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0035.raw,2,5,1,3,0,1906,2.7063798904418945,93184,252516,74,OK,2026-03-19 11:21:27
74,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0024.raw,0,0,3,8,0,1906,2.7056286334991455,93184,252516,75,OK,2026-03-19 11:21:31
75,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0073.raw,3,8,0,0,0,1906,2.7096686363220215,93184,252516,76,OK,2026-03-19 11:21:36
76,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0007.raw,2,5,4,9,0,1907,2.7065935134887695,93184,252516,77,OK,2026-03-19 11:21:41
77,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0174.raw,3,8,3,8,1,1906,2.7095820903778076,93184,252516,78,OK,2026-03-19 11:21:45
78,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0071.raw,4,9,4,9,1,1906,2.7087173461914062,93184,252516,79,OK,2026-03-19 11:21:50
79,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0015.raw,0,0,0,0,1,1906,2.7087836265563965,93184,252516,80,OK,2026-03-19 11:21:55
80,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0006.raw,0,0,1,3,0,1906,2.7088186740875244,93184,252516,81,OK,2026-03-19 11:22:00
81,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0109.raw,3,8,3,8,1,1906,2.7093265056610107,93184,252516,82,OK,2026-03-19 11:22:05
82,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0010.raw,0,0,3,8,0,1906,2.7102088928222656,93184,252516,83,OK,2026-03-19 11:22:09
83,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0032.raw,2,5,2,5,1,1906,2.709251880645752,93184,252516,84,OK,2026-03-19 11:22:14
84,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0018.raw,2,5,3,8,0,1906,2.7061495780944824,93184,252516,85,OK,2026-03-19 11:22:19
85,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0039.raw,1,3,3,8,0,1906,2.709259033203125,93184,252516,86,OK,2026-03-19 11:22:24
86,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0051.raw,2,5,3,8,0,1906,2.7110507488250732,93184,252516,87,OK,2026-03-19 11:22:28
87,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0013.raw,2,5,1,3,0,1906,2.706773042678833,93184,252516,88,OK,2026-03-19 11:22:33
88,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0005.raw,4,9,4,9,1,1907,2.708254814147949,93184,252516,89,OK,2026-03-19 11:22:38
89,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0083.raw,4,9,4,9,1,1906,2.7081758975982666,93184,252516,90,OK,2026-03-19 11:22:43
90,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0003.raw,0,0,4,9,0,1906,2.7086422443389893,93184,252516,91,OK,2026-03-19 11:22:47
91,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0090.raw,1,3,1,3,1,1906,2.7082087993621826,93184,252516,92,OK,2026-03-19 11:22:52
92,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0126.raw,3,8,3,8,1,1906,2.7070767879486084,93184,252516,93,OK,2026-03-19 11:22:57
93,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0053.raw,3,8,3,8,1,1907,2.7084131240844727,93184,252516,94,OK,2026-03-19 11:23:02
94,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0109.raw,3,8,3,8,1,1906,2.7088470458984375,93184,252516,95,OK,2026-03-19 11:23:06
95,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0166.raw,3,8,2,5,0,1906,2.7083630561828613,93184,252516,96,OK,2026-03-19 11:23:11
96,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0007.raw,3,8,0,0,0,1906,2.7091102600097656,93184,252516,97,OK,2026-03-19 11:23:16
