test,file,gt_index,gt_label,pred_index,pred_label,correct,latency_mcu_ms,latency_pc_s,tensor_arena,free_ram,iteration,status,timestamp
0,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0077.raw,4,9,3,8,0,1092,1.8934359550476074,99328,246372,1,OK,2026-03-19 14:57:28
1,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0019.raw,0,0,0,0,1,1092,1.894183874130249,99328,246372,2,OK,2026-03-19 14:57:32
2,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0085.raw,3,8,3,8,1,1092,1.893949031829834,99328,246372,3,OK,2026-03-19 14:57:36
3,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0071.raw,1,3,1,3,1,1091,1.8936867713928223,99328,246372,4,OK,2026-03-19 14:57:39
4,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0126.raw,3,8,3,8,1,1092,1.894031047821045,99328,246372,5,OK,2026-03-19 14:57:43
5,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0070.raw,0,0,3,8,0,1091,1.8938820362091064,99328,246372,6,OK,2026-03-19 14:57:47
6,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0094.raw,1,3,1,3,1,1092,1.8941950798034668,99328,246372,7,OK,2026-03-19 14:57:51
7,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0063.raw,4,9,4,9,1,1091,1.8936805725097656,99328,246372,8,OK,2026-03-19 14:57:55
8,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0063.raw,4,9,4,9,1,1091,1.8942580223083496,99328,246372,9,OK,2026-03-19 14:57:59
9,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0058.raw,1,3,1,3,1,1092,1.8944637775421143,99328,246372,10,OK,2026-03-19 14:58:03
10,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0077.raw,3,8,3,8,1,1091,1.8931961059570312,99328,246372,11,OK,2026-03-19 14:58:07
11,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0120.raw,3,8,0,0,0,1092,1.8921520709991455,99328,246372,12,OK,2026-03-19 14:58:11
12,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0169.raw,3,8,1,3,0,1092,1.895998477935791,99328,246372,13,OK,2026-03-19 14:58:15
13,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0158.raw,3,8,2,5,0,1092,1.894747257232666,99328,246372,14,OK,2026-03-19 14:58:19
14,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0027.raw,3,8,3,8,1,1092,1.8941643238067627,99328,246372,15,OK,2026-03-19 14:58:22
15,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0026.raw,0,0,0,0,1,1092,1.8943617343902588,99328,246372,16,OK,2026-03-19 14:58:26
16,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0037.raw,0,0,3,8,0,1091,1.8939752578735352,99328,246372,17,OK,2026-03-19 14:58:30
17,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0142.raw,3,8,3,8,1,1091,1.8938117027282715,99328,246372,18,OK,2026-03-19 14:58:34
18,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0040.raw,1,3,1,3,1,1092,1.8918700218200684,99328,246372,19,OK,2026-03-19 14:58:38
19,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0064.raw,3,8,0,0,0,1092,1.8947932720184326,99328,246372,20,OK,2026-03-19 14:58:42
20,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0089.raw,4,9,3,8,0,1091,1.8945326805114746,99328,246372,21,OK,2026-03-19 14:58:46
21,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0058.raw,2,5,0,0,0,1091,1.894730567932129,99328,246372,22,OK,2026-03-19 14:58:50
