test,file,gt_index,gt_label,pred_index,pred_label,correct,latency_mcu_ms,latency_pc_s,tensor_arena,free_ram,iteration,status,timestamp
0,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0031.raw,3,8,0,0,0,1118,1.9197468757629395,53248,291620,1,OK,2026-03-19 18:15:50
1,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0010.raw,3,8,0,0,0,1118,1.920680046081543,53248,291620,2,OK,2026-03-19 18:15:54
2,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0054.raw,4,9,0,0,0,1118,1.9202749729156494,53248,291620,3,OK,2026-03-19 18:15:58
3,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0084.raw,4,9,0,0,0,1117,1.9194140434265137,53248,291620,4,OK,2026-03-19 18:16:02
4,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0056.raw,4,9,0,0,0,1117,1.9201726913452148,53248,291620,5,OK,2026-03-19 18:16:06
5,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0088.raw,3,8,0,0,0,1117,1.9203882217407227,53248,291620,6,OK,2026-03-19 18:16:10
6,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0028.raw,0,0,0,0,1,1117,1.919628381729126,53248,291620,7,OK,2026-03-19 18:16:14
7,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0000.raw,4,9,0,0,0,1117,1.9196648597717285,53248,291620,8,OK,2026-03-19 18:16:18
8,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0029.raw,1,3,0,0,0,1118,1.9203364849090576,53248,291620,9,OK,2026-03-19 18:16:22
9,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0107.raw,2,5,0,0,0,1118,1.9171156883239746,53248,291620,10,OK,2026-03-19 18:16:25
10,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0063.raw,0,0,0,0,1,1117,1.919633150100708,53248,291620,11,OK,2026-03-19 18:16:29
11,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0038.raw,0,0,0,0,1,1117,1.9207096099853516,53248,291620,12,OK,2026-03-19 18:16:33
12,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0083.raw,0,0,0,0,1,1118,1.9200224876403809,53248,291620,13,OK,2026-03-19 18:16:37
