test,file,gt_index,gt_label,pred_index,pred_label,correct,latency_mcu_ms,latency_pc_s,tensor_arena,free_ram,iteration,status,timestamp
0,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0016.raw,4,9,4,9,1,870,1.671781301498413,54272,290596,1,OK,2026-03-19 06:27:57
1,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0054.raw,2,5,4,9,0,870,1.6724028587341309,54272,290596,2,OK,2026-03-19 06:28:01
2,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0046.raw,2,5,4,9,0,869,1.6716644763946533,54272,290596,3,OK,2026-03-19 06:28:05
3,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0112.raw,3,8,2,5,0,869,1.6718788146972656,54272,290596,4,OK,2026-03-19 06:28:09
4,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0062.raw,0,0,3,8,0,870,1.6723697185516357,54272,290596,5,OK,2026-03-19 06:28:12
5,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0082.raw,0,0,0,0,1,869,1.672220230102539,54272,290596,6,OK,2026-03-19 06:28:16
6,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0076.raw,2,5,3,8,0,869,1.6715621948242188,54272,290596,7,OK,2026-03-19 06:28:20
7,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0058.raw,0,0,0,0,1,869,1.672142744064331,54272,290596,8,OK,2026-03-19 06:28:23
8,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0107.raw,3,8,3,8,1,869,1.6709785461425781,54272,290596,9,OK,2026-03-19 06:28:27
9,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0155.raw,3,8,3,8,1,870,1.6714067459106445,54272,290596,10,OK,2026-03-19 06:28:31
10,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0072.raw,0,0,0,0,1,870,1.6728107929229736,54272,290596,11,OK,2026-03-19 06:28:35
11,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0112.raw,2,5,2,5,1,869,1.6728596687316895,54272,290596,12,OK,2026-03-19 06:28:38
12,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0040.raw,1,3,1,3,1,869,1.6716082096099854,54272,290596,13,OK,2026-03-19 06:28:42
13,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0064.raw,2,5,3,8,0,870,1.6722896099090576,54272,290596,14,OK,2026-03-19 06:28:46
