test,file,gt_index,gt_label,pred_index,pred_label,correct,latency_mcu_ms,latency_pc_s,tensor_arena,free_ram,iteration,status,timestamp
0,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0064.raw,0,0,0,0,1,1906,2.709608793258667,93184,252516,1,OK,2026-03-19 19:28:15
1,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0033.raw,4,9,1,3,0,1907,2.7059121131896973,93184,252516,2,OK,2026-03-19 19:28:20
2,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0050.raw,0,0,0,0,1,1906,2.7085623741149902,93184,252516,3,OK,2026-03-19 19:28:24
3,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0004.raw,2,5,2,5,1,1906,2.7082905769348145,93184,252516,4,OK,2026-03-19 19:28:29
4,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0066.raw,0,0,3,8,0,1906,2.7086586952209473,93184,252516,5,OK,2026-03-19 19:28:34
5,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0055.raw,1,3,1,3,1,1906,2.7083866596221924,93184,252516,6,OK,2026-03-19 19:28:39
6,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0051.raw,2,5,3,8,0,1906,2.7088570594787598,93184,252516,7,OK,2026-03-19 19:28:43
7,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0084.raw,0,0,3,8,0,1906,2.7084262371063232,93184,252516,8,OK,2026-03-19 19:28:48
8,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0140.raw,3,8,3,8,1,1906,2.709524631500244,93184,252516,9,OK,2026-03-19 19:28:53
9,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0003.raw,1,3,1,3,1,1906,2.708956241607666,93184,252516,10,OK,2026-03-19 19:28:57
10,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0076.raw,2,5,2,5,1,1906,2.7095556259155273,93184,252516,11,OK,2026-03-19 19:29:02
11,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0047.raw,0,0,0,0,1,1906,2.708804130554199,93184,252516,12,OK,2026-03-19 19:29:07
12,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0073.raw,4,9,2,5,0,1906,2.708172082901001,93184,252516,13,OK,2026-03-19 19:29:12
13,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0103.raw,1,3,1,3,1,1906,2.70890736579895,93184,252516,14,OK,2026-03-19 19:29:16
14,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0099.raw,3,8,3,8,1,1906,2.708562135696411,93184,252516,15,OK,2026-03-19 19:29:21
15,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0015.raw,2,5,2,5,1,1906,2.7093346118927,93184,252516,16,OK,2026-03-19 19:29:26
16,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0066.raw,3,8,4,9,0,1907,2.7093851566314697,93184,252516,17,OK,2026-03-19 19:29:30
17,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0118.raw,2,5,1,3,0,1906,2.7085914611816406,93184,252516,18,OK,2026-03-19 19:29:35
18,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0158.raw,3,8,2,5,0,1906,2.7097904682159424,93184,252516,19,OK,2026-03-19 19:29:40
19,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0082.raw,0,0,0,0,1,1906,2.7081077098846436,93184,252516,20,OK,2026-03-19 19:29:45
20,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0001.raw,3,8,3,8,1,1906,2.708587408065796,93184,252516,21,OK,2026-03-19 19:29:49
21,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0066.raw,0,0,3,8,0,1906,2.7086570262908936,93184,252516,22,OK,2026-03-19 19:29:54
22,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0084.raw,1,3,2,5,0,1906,2.7088418006896973,93184,252516,23,OK,2026-03-19 19:29:59
23,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0085.raw,3,8,3,8,1,1906,2.709336280822754,93184,252516,24,OK,2026-03-19 19:30:03
24,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0090.raw,4,9,2,5,0,1906,2.710655689239502,93184,252516,25,OK,2026-03-19 19:30:08
25,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0077.raw,1,3,1,3,1,1907,2.7070508003234863,93184,252516,26,OK,2026-03-19 19:30:13
