test,file,gt_index,gt_label,pred_index,pred_label,correct,latency_mcu_ms,latency_pc_s,tensor_arena,free_ram,iteration,status,timestamp
0,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0066.raw,0,0,3,8,0,1906,2.709055185317993,180000,165700,1,OK,2026-03-16 19:07:55
1,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0094.raw,3,8,3,8,1,1906,2.708940267562866,180000,165700,2,OK,2026-03-16 19:08:00
2,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0104.raw,3,8,2,5,0,1907,2.7084968090057373,180000,165700,3,OK,2026-03-16 19:08:05
3,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0146.raw,3,8,3,8,1,1906,2.7079360485076904,180000,165700,4,OK,2026-03-16 19:08:09
4,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0042.raw,2,5,3,8,0,1906,2.708361864089966,180000,165700,5,OK,2026-03-16 19:08:14
5,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0082.raw,1,3,1,3,1,1906,2.7088429927825928,180000,165700,6,OK,2026-03-16 19:08:19
6,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0092.raw,2,5,2,5,1,1907,2.7083427906036377,180000,165700,7,OK,2026-03-16 19:08:24
7,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0017.raw,0,0,0,0,1,1906,2.708131790161133,180000,165700,8,OK,2026-03-16 19:08:28
8,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0048.raw,0,0,0,0,1,1906,2.708190441131592,180000,165700,9,OK,2026-03-16 19:08:33
9,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0032.raw,4,9,3,8,0,1907,2.7087724208831787,180000,165700,10,OK,2026-03-16 19:08:38
10,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0022.raw,4,9,1,3,0,1906,2.709066152572632,180000,165700,11,OK,2026-03-16 19:08:43
11,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0089.raw,4,9,2,5,0,1906,2.708627462387085,180000,165700,12,OK,2026-03-16 19:08:48
12,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0034.raw,1,3,3,8,0,1906,2.709148645401001,180000,165700,13,OK,2026-03-16 19:08:52
13,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0082.raw,1,3,1,3,1,1906,2.7086706161499023,180000,165700,14,OK,2026-03-16 19:08:57
14,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0066.raw,4,9,4,9,1,1906,2.708648443222046,180000,165700,15,OK,2026-03-16 19:09:02
15,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0034.raw,4,9,3,8,0,1906,2.7089974880218506,180000,165700,16,OK,2026-03-16 19:09:06
16,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0119.raw,2,5,2,5,1,1907,2.708587408065796,180000,165700,17,OK,2026-03-16 19:09:11
17,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0115.raw,2,5,2,5,1,1907,2.7088398933410645,180000,165700,18,OK,2026-03-16 19:09:16
18,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0026.raw,1,3,1,3,1,1906,2.7089178562164307,180000,165700,19,OK,2026-03-16 19:09:21
19,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0028.raw,1,3,1,3,1,1906,2.7087318897247314,180000,165700,20,OK,2026-03-16 19:09:25
20,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0022.raw,0,0,4,9,0,1906,2.7083702087402344,180000,165700,21,OK,2026-03-16 19:09:30
21,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0025.raw,2,5,2,5,1,1906,2.7085888385772705,180000,165700,22,OK,2026-03-16 19:09:35
22,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0019.raw,1,3,1,3,1,1906,2.709005117416382,180000,165700,23,OK,2026-03-16 19:09:40
23,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0011.raw,4,9,4,9,1,1906,2.706890344619751,180000,165700,24,OK,2026-03-16 19:09:44
24,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0040.raw,1,3,1,3,1,1906,2.7086567878723145,180000,165700,25,OK,2026-03-16 19:09:49
25,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0002.raw,0,0,0,0,1,1906,2.708364248275757,180000,165700,26,OK,2026-03-16 19:09:54
26,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0039.raw,0,0,3,8,0,1906,2.7083182334899902,180000,165700,27,OK,2026-03-16 19:09:59
27,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0063.raw,3,8,3,8,1,1906,2.7067501544952393,180000,165700,28,OK,2026-03-16 19:10:03
28,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0030.raw,4,9,2,5,0,1906,2.709367036819458,180000,165700,29,OK,2026-03-16 19:10:08
29,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0048.raw,2,5,2,5,1,1906,2.708538293838501,180000,165700,30,OK,2026-03-16 19:10:13
30,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0000.raw,1,3,3,8,0,1906,2.7080795764923096,180000,165700,31,OK,2026-03-16 19:10:18
31,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0073.raw,2,5,2,5,1,1906,2.708470106124878,180000,165700,32,OK,2026-03-16 19:10:22
32,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0054.raw,3,8,3,8,1,1906,2.7090864181518555,180000,165700,33,OK,2026-03-16 19:10:27
33,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0029.raw,2,5,1,3,0,1906,2.7087602615356445,180000,165700,34,OK,2026-03-16 19:10:32
34,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0168.raw,3,8,1,3,0,1906,2.7084197998046875,180000,165700,35,OK,2026-03-16 19:10:37
35,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0082.raw,4,9,3,8,0,1906,2.708010673522949,180000,165700,36,OK,2026-03-16 19:10:41
36,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0068.raw,0,0,0,0,1,1906,2.7086846828460693,180000,165700,37,OK,2026-03-16 19:10:46
37,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0005.raw,0,0,0,0,1,1907,2.7088615894317627,180000,165700,38,OK,2026-03-16 19:10:51
38,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0107.raw,2,5,2,5,1,1906,2.708298683166504,180000,165700,39,OK,2026-03-16 19:10:56
39,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0031.raw,0,0,0,0,1,1906,2.7083256244659424,180000,165700,40,OK,2026-03-16 19:11:00
40,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0018.raw,2,5,3,8,0,1906,2.707899332046509,180000,165700,41,OK,2026-03-16 19:11:05
41,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0043.raw,2,5,2,5,1,1906,2.7081968784332275,180000,165700,42,OK,2026-03-16 19:11:10
42,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0027.raw,3,8,3,8,1,1906,2.707848072052002,180000,165700,43,OK,2026-03-16 19:11:15
43,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0070.raw,1,3,1,3,1,1906,2.7083775997161865,180000,165700,44,OK,2026-03-16 19:11:20
44,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0089.raw,4,9,2,5,0,1906,2.7076992988586426,180000,165700,45,OK,2026-03-16 19:11:24
45,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0050.raw,0,0,0,0,1,1906,2.7085156440734863,180000,165700,46,OK,2026-03-16 19:11:29
46,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0050.raw,0,0,0,0,1,1907,2.708420991897583,180000,165700,47,OK,2026-03-16 19:11:34
47,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0000.raw,4,9,3,8,0,1906,2.7059285640716553,180000,165700,48,OK,2026-03-16 19:11:39
48,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0052.raw,4,9,3,8,0,1906,2.7085793018341064,180000,165700,49,OK,2026-03-16 19:11:43
49,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0089.raw,2,5,2,5,1,1906,2.708561658859253,180000,165700,50,OK,2026-03-16 19:11:48
50,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0040.raw,0,0,3,8,0,1906,2.7085845470428467,180000,165700,51,OK,2026-03-16 19:11:53
51,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0046.raw,0,0,3,8,0,1906,2.708404064178467,180000,165700,52,OK,2026-03-16 19:11:58
