test,file,gt_index,gt_label,pred_index,pred_label,correct,latency_mcu_ms,latency_pc_s,tensor_arena,free_ram,iteration,status,timestamp
0,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0005.raw,1,3,1,3,1,1092,1.892895221710205,180000,165700,1,OK,2026-03-16 19:27:26
1,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0020.raw,4,9,4,9,1,1092,1.894437551498413,180000,165700,2,OK,2026-03-16 19:27:30
2,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0094.raw,4,9,4,9,1,1091,1.893770456314087,180000,165700,3,OK,2026-03-16 19:27:34
3,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0139.raw,3,8,3,8,1,1092,1.8942525386810303,180000,165700,4,OK,2026-03-16 19:27:38
4,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0068.raw,4,9,4,9,1,1091,1.8936302661895752,180000,165700,5,OK,2026-03-16 19:27:42
5,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0090.raw,3,8,3,8,1,1092,1.8947491645812988,180000,165700,6,OK,2026-03-16 19:27:46
6,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0051.raw,4,9,4,9,1,1091,1.894566535949707,180000,165700,7,OK,2026-03-16 19:27:50
7,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0010.raw,0,0,3,8,0,1092,1.894068956375122,180000,165700,8,OK,2026-03-16 19:27:54
8,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0096.raw,1,3,4,9,0,1092,1.89365816116333,180000,165700,9,OK,2026-03-16 19:27:58
9,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0109.raw,3,8,3,8,1,1091,1.8930373191833496,180000,165700,10,OK,2026-03-16 19:28:02
10,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0068.raw,3,8,3,8,1,1091,1.8944978713989258,180000,165700,11,OK,2026-03-16 19:28:06
11,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0009.raw,1,3,1,3,1,1091,1.893099069595337,180000,165700,12,OK,2026-03-16 19:28:10
12,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0000.raw,0,0,0,0,1,1091,1.8940556049346924,180000,165700,13,OK,2026-03-16 19:28:13
13,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0067.raw,4,9,4,9,1,1092,1.8918559551239014,180000,165700,14,OK,2026-03-16 19:28:17
14,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0037.raw,4,9,3,8,0,1091,1.8934271335601807,180000,165700,15,OK,2026-03-16 19:28:21
15,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0005.raw,0,0,1,3,0,1091,1.8946192264556885,180000,165700,16,OK,2026-03-16 19:28:25
16,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0007.raw,1,3,1,3,1,1091,1.8951213359832764,180000,165700,17,OK,2026-03-16 19:28:29
17,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0087.raw,1,3,4,9,0,1091,1.8942339420318604,180000,165700,18,OK,2026-03-16 19:28:33
18,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0003.raw,4,9,0,0,0,1092,1.8939261436462402,180000,165700,19,OK,2026-03-16 19:28:37
19,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0090.raw,1,3,1,3,1,1092,1.8943791389465332,180000,165700,20,OK,2026-03-16 19:28:41
20,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0059.raw,2,5,1,3,0,1092,1.89335036277771,180000,165700,21,OK,2026-03-16 19:28:45
21,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0078.raw,3,8,3,8,1,1092,1.8941893577575684,180000,165700,22,OK,2026-03-16 19:28:49
