test,file,gt_index,gt_label,pred_index,pred_label,correct,latency_mcu_ms,latency_pc_s,tensor_arena,free_ram,iteration,status,timestamp
0,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0035.raw,2,5,0,0,0,1117,1.9200937747955322,180000,165700,1,OK,2026-03-16 20:04:19
1,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0108.raw,2,5,0,0,0,1118,1.9197382926940918,180000,165700,2,OK,2026-03-16 20:04:23
2,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0032.raw,2,5,0,0,0,1118,1.9195363521575928,180000,165700,3,OK,2026-03-16 20:04:27
3,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0055.raw,2,5,0,0,0,1118,1.9194257259368896,180000,165700,4,OK,2026-03-16 20:04:31
4,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0011.raw,3,8,0,0,0,1118,1.9196860790252686,180000,165700,5,OK,2026-03-16 20:04:35
5,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0094.raw,4,9,0,0,0,1117,1.9199535846710205,180000,165700,6,OK,2026-03-16 20:04:39
6,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0011.raw,0,0,0,0,1,1117,1.9203641414642334,180000,165700,7,OK,2026-03-16 20:04:42
7,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0073.raw,4,9,0,0,0,1117,1.9197802543640137,180000,165700,8,OK,2026-03-16 20:04:46
8,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0034.raw,0,0,0,0,1,1117,1.9177782535552979,180000,165700,9,OK,2026-03-16 20:04:50
9,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0024.raw,0,0,0,0,1,1118,1.9201197624206543,180000,165700,10,OK,2026-03-16 20:04:54
10,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0045.raw,1,3,0,0,0,1117,1.9200506210327148,180000,165700,11,OK,2026-03-16 20:04:58
11,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0022.raw,3,8,0,0,0,1117,1.9198400974273682,180000,165700,12,OK,2026-03-16 20:05:02
12,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0024.raw,0,0,0,0,1,1117,1.9212896823883057,180000,165700,13,OK,2026-03-16 20:05:06
13,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0005.raw,0,0,0,0,1,1117,1.9207444190979004,180000,165700,14,OK,2026-03-16 20:05:10
14,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0047.raw,1,3,0,0,0,1117,1.9194459915161133,180000,165700,15,OK,2026-03-16 20:05:14
15,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0023.raw,0,0,0,0,1,1117,1.920292854309082,180000,165700,16,OK,2026-03-16 20:05:18
16,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0049.raw,2,5,0,0,0,1117,1.920278787612915,180000,165700,17,OK,2026-03-16 20:05:22
17,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0004.raw,0,0,0,0,1,1117,1.9181268215179443,180000,165700,18,OK,2026-03-16 20:05:26
18,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0033.raw,3,8,0,0,0,1117,1.9182100296020508,180000,165700,19,OK,2026-03-16 20:05:30
