test,file,gt_index,gt_label,pred_index,pred_label,correct,latency_mcu_ms,latency_pc_s,tensor_arena,free_ram,iteration,status,timestamp
0,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0026.raw,0,0,0,0,1,869,1.6718220710754395,180000,165700,31,OK,2026-03-16 18:52:50
1,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0076.raw,4,9,4,9,1,869,1.6715762615203857,180000,165700,32,OK,2026-03-16 18:52:54
2,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0082.raw,1,3,0,0,0,870,1.669179916381836,180000,165700,33,OK,2026-03-16 18:52:58
3,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0092.raw,1,3,1,3,1,870,1.6695988178253174,180000,165700,34,OK,2026-03-16 18:53:02
4,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0088.raw,4,9,4,9,1,869,1.67195463180542,180000,165700,35,OK,2026-03-16 18:53:05
5,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0045.raw,1,3,4,9,0,869,1.6705176830291748,180000,165700,36,OK,2026-03-16 18:53:09
6,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0112.raw,2,5,2,5,1,869,1.6706361770629883,180000,165700,37,OK,2026-03-16 18:53:13
7,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0030.raw,0,0,0,0,1,869,1.6728520393371582,180000,165700,38,OK,2026-03-16 18:53:16
8,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0032.raw,0,0,0,0,1,870,1.6713244915008545,180000,165700,39,OK,2026-03-16 18:53:20
9,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0058.raw,4,9,0,0,0,869,1.6721775531768799,180000,165700,40,OK,2026-03-16 18:53:24
10,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0066.raw,2,5,2,5,1,869,1.6713776588439941,180000,165700,41,OK,2026-03-16 18:53:28
11,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0080.raw,0,0,1,3,0,869,1.6722447872161865,180000,165700,42,OK,2026-03-16 18:53:31
12,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0034.raw,4,9,0,0,0,869,1.6699893474578857,180000,165700,43,OK,2026-03-16 18:53:35
13,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0030.raw,0,0,0,0,1,869,1.67228102684021,180000,165700,44,OK,2026-03-16 18:53:39
14,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0019.raw,1,3,4,9,0,869,1.6722815036773682,180000,165700,45,OK,2026-03-16 18:53:42
15,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0029.raw,4,9,4,9,1,869,1.6714880466461182,180000,165700,46,OK,2026-03-16 18:53:46
16,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0024.raw,3,8,0,0,0,869,1.6726772785186768,180000,165700,47,OK,2026-03-16 18:53:50
17,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0021.raw,0,0,1,3,0,869,1.671518325805664,180000,165700,48,OK,2026-03-16 18:53:54
18,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0053.raw,1,3,2,5,0,869,1.6705245971679688,180000,165700,49,OK,2026-03-16 18:53:57
19,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0102.raw,2,5,4,9,0,870,1.6702685356140137,180000,165700,50,OK,2026-03-16 18:54:01
20,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0065.raw,1,3,1,3,1,869,1.6721930503845215,180000,165700,51,OK,2026-03-16 18:54:05
21,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0030.raw,1,3,1,3,1,870,1.6722650527954102,180000,165700,52,OK,2026-03-16 18:54:09
22,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0088.raw,1,3,1,3,1,869,1.6722331047058105,180000,165700,53,OK,2026-03-16 18:54:12
23,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0039.raw,4,9,4,9,1,869,1.6697299480438232,180000,165700,54,OK,2026-03-16 18:54:16
24,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0078.raw,0,0,0,0,1,870,1.6722242832183838,180000,165700,55,OK,2026-03-16 18:54:20
25,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0109.raw,2,5,1,3,0,869,1.6718285083770752,180000,165700,56,OK,2026-03-16 18:54:23
26,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0041.raw,3,8,3,8,1,870,1.6716382503509521,180000,165700,57,OK,2026-03-16 18:54:27
27,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0059.raw,0,0,3,8,0,870,1.6720964908599854,180000,165700,58,OK,2026-03-16 18:54:31
28,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0018.raw,0,0,0,0,1,870,1.6701805591583252,180000,165700,59,OK,2026-03-16 18:54:34
29,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0157.raw,3,8,3,8,1,870,1.6695904731750488,180000,165700,60,OK,2026-03-16 18:54:38
30,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0065.raw,4,9,2,5,0,869,1.6705031394958496,180000,165700,61,OK,2026-03-16 18:54:42
31,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0053.raw,1,3,2,5,0,869,1.6724233627319336,180000,165700,62,OK,2026-03-16 18:54:46
32,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0012.raw,4,9,4,9,1,870,1.6726229190826416,180000,165700,63,OK,2026-03-16 18:54:49
33,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0031.raw,2,5,2,5,1,870,1.6719245910644531,180000,165700,64,OK,2026-03-16 18:54:53
34,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0068.raw,1,3,1,3,1,870,1.670233964920044,180000,165700,65,OK,2026-03-16 18:54:57
35,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0006.raw,0,0,0,0,1,870,1.6717281341552734,180000,165700,66,OK,2026-03-16 18:55:00
36,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0006.raw,2,5,2,5,1,869,1.670271635055542,180000,165700,67,OK,2026-03-16 18:55:04
37,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0126.raw,3,8,3,8,1,870,1.6706387996673584,180000,165700,68,OK,2026-03-16 18:55:08
38,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0025.raw,0,0,3,8,0,869,1.6709089279174805,180000,165700,69,OK,2026-03-16 18:55:12
39,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\3\0082.raw,1,3,0,0,0,870,1.673375129699707,180000,165700,70,OK,2026-03-16 18:55:15
40,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0138.raw,3,8,3,8,1,870,1.6723124980926514,180000,165700,71,OK,2026-03-16 18:55:19
41,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0094.raw,4,9,4,9,1,870,1.6719608306884766,180000,165700,72,OK,2026-03-16 18:55:23
42,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0081.raw,2,5,1,3,0,869,1.6721031665802002,180000,165700,73,OK,2026-03-16 18:55:26
43,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\8\0132.raw,3,8,3,8,1,869,1.6720786094665527,180000,165700,74,OK,2026-03-16 18:55:30
44,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0056.raw,4,9,4,9,1,870,1.671935796737671,180000,165700,75,OK,2026-03-16 18:55:34
45,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\9\0005.raw,4,9,0,0,0,870,1.6692943572998047,180000,165700,76,OK,2026-03-16 18:55:38
46,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\5\0051.raw,2,5,2,5,1,870,1.6721382141113281,180000,165700,77,OK,2026-03-16 18:55:41
47,D:\6S2\Thesis\7 dataset\hama3_split_raw\test\0\0005.raw,0,0,0,0,1,870,1.672093152999878,180000,165700,78,OK,2026-03-16 18:55:45
